proof,compressed?,length,resOnlyLength,compressedLengthAll,compressedLengthResOnly,compressTime,compressRatio,compressSpeed,compressRatioRes,compressSpeedRes,numFOSub
PUZ\PUZ008-1.spass,1,5,2,5,2,70811,0.0,0.0,0.0,0.0,0
MGT\MGT002-1.spass,0,31,17,-1,-1,-1,-1,-1,-1,-1,-1
SYN\SYN588-1.spass,1,7,3,7,3,162168,0.0,0.0,0.0,0.0,0
SWB\SWB030+2.spass,1,22,12,28,10,6473909,-0.2727272727272727,-9.26797086582465E-7,0.09090909090909091,3.0893236219415503E-7,6
COM\COM011-2.spass,0,27,15,-1,-1,-1,-1,-1,-1,-1,-1
SYN\SYN585-1.spass,1,13,6,13,6,91724,0.0,0.0,0.0,0.0,0
SYN\SYN570-1.spass,1,22,11,22,11,122910,0.0,0.0,0.0,0.0,0
SYN\SYN717-1.spass,1,16,8,22,7,5676640,-0.375,-1.0569632740494377E-6,0.0625,1.7616054567490627E-7,6
SYN\SYN014-2.spass,1,10,5,10,5,61272,0.0,0.0,0.0,0.0,0
SYN\SYN657-1.spass,1,18,9,24,8,6919323,-0.3333333333333333,-8.67136857175189E-7,0.05555555555555555,1.4452280952919815E-7,7
SWV\SWV330-2.spass,1,3,1,3,1,38158,0.0,0.0,0.0,0.0,0
SWV\SWV300-2.spass,1,29,15,43,14,15631306,-0.4827586206896552,-8.956385346176449E-7,0.034482758620689655,6.39741810441175E-8,14
SET\SET836-2.spass,1,7,3,7,3,57603,0.0,0.0,0.0,0.0,0
SYN\SYN656-1.spass,1,19,10,27,9,6192131,-0.42105263157894735,-1.291962330900299E-6,0.05263157894736842,1.6149529136253738E-7,8
SYN\SYN669-1.spass,1,14,7,14,7,108602,0.0,0.0,0.0,0.0,0
SYN\SYN654-1.spass,1,17,9,17,9,303792,0.0,0.0,0.0,0.0,0
SYN\SYN613-1.spass,1,20,11,20,11,126580,0.0,0.0,0.0,0.0,0
SYN\SYN626-1.spass,1,16,8,23,7,3951487,-0.4375,-1.7714850131102545E-6,0.0625,2.530692875871792E-7,7
TOP\TOP022+1.spass,1,13,6,13,6,85487,0.0,0.0,0.0,0.0,0
SYN\SYN354-1.spass,1,14,7,16,4,3989645,-0.14285714285714285,-5.012977345102133E-7,0.21428571428571427,7.5194660176532E-7,4
SET\SET835-2.spass,1,7,3,7,3,48431,0.0,0.0,0.0,0.0,0
SWV\SWV258-2.spass,1,11,5,11,5,101263,0.0,0.0,0.0,0.0,0
