proof,compressed?,length,resOnlyLength,compressedLengthAll,compressedLengthResOnly,compressTime,compressRatio,compressSpeed,compressRatioRes,compressSpeedRes,numFOSub,totalTime
\SYN\SYN082+1.spass,1,9,4,10,3,1047687,-0.1111111111111111,-9.544835432719887E-7,0.1111111111111111,9.544835432719887E-7,1,1790226
\SYN\SYN571-1.spass,0,16,8,17,8,3179774,-0.0625,-3.1448775919294895E-7,0.0,0.0,1,4018239
\GRP\GRP001+6.spass,1,26,16,28,14,30776105,-0.07692307692307693,-6.498548143112977E-8,0.07692307692307693,6.498548143112977E-8,2,36340217
\SYN\SYN727-1.spass,0,5,2,5,2,138955,0.0,0.0,0.0,0.0,0,1052819
\SYN\SYN656-1.spass,1,19,10,21,9,3835861,-0.10526315789473684,-5.213953268901037E-7,0.05263157894736842,2.6069766344505185E-7,2,5709381
\CSR\CSR035+1.spass,0,5,2,5,2,183957,0.0,0.0,0.0,0.0,0,986500
\SYN\SYN613-1.spass,0,20,11,20,11,1507975,0.0,0.0,0.0,0.0,0,5071453
\SYN\SYN626-1.spass,1,16,8,18,7,3415444,-0.125,-5.855754039591924E-7,0.0625,2.927877019795962E-7,2,5045400
\TOP\TOP022+1.spass,0,13,6,13,6,948209,0.0,0.0,0.0,0.0,0,7009714
\SET\SET835-2.spass,0,7,3,7,3,296858,0.0,0.0,0.0,0.0,0,1958789
\SWV\SWV258-2.spass,0,11,5,11,5,918996,0.0,0.0,0.0,0.0,0,4744199
\SYN\SYN014-2.spass,0,10,5,10,5,356071,0.0,0.0,0.0,0.0,0,2852914
\SET\SET631+3.spass,1,12,6,13,5,2679616,-0.08333333333333333,-3.7318780004299125E-7,0.08333333333333333,3.7318780004299125E-7,1,2861204
\SYN\SYN655-1.spass,0,17,9,17,9,3536635,0.0,0.0,0.0,0.0,0,15563720
\SYN\SYN668-1.spass,0,14,7,14,7,1260462,0.0,0.0,0.0,0.0,0,4465895
\SYN\SYN653-1.spass,0,18,9,18,9,3848888,0.0,0.0,0.0,0.0,0,10303573
\SWV\SWV341-2.spass,0,7,3,7,3,259751,0.0,0.0,0.0,0.0,0,1661140
\SYN\SYN340-1.spass,0,3,1,3,1,99085,0.0,0.0,0.0,0.0,0,762277
\TOP\TOP021+1.spass,0,9,4,9,4,475683,0.0,0.0,0.0,0.0,0,2751461
\SET\SET834-2.spass,0,23,11,23,11,2332229,0.0,0.0,0.0,0.0,0,7918841
\SYN\SYN312-1.spass,0,21,13,21,13,2081953,0.0,0.0,0.0,0.0,0,3924682
\COL\COL117-2.spass,0,14,7,14,7,2790543,0.0,0.0,0.0,0.0,0,7050769
\SWV\SWV257-2.spass,0,5,2,5,2,191063,0.0,0.0,0.0,0.0,0,1082821
\SYN\SYN310-1.spass,0,19,13,19,13,1663509,0.0,0.0,0.0,0.0,0,3905733
\SWV\SWV255-2.spass,0,12,6,12,6,1273883,0.0,0.0,0.0,0.0,0,5850310
\SET\SET832-2.spass,0,7,3,7,3,331991,0.0,0.0,0.0,0.0,0,1804438
\SYN\SYN325-1.spass,0,6,3,6,3,1069399,0.0,0.0,0.0,0.0,0,1525344
\SWB\SWB024+2.spass,0,24,12,24,12,1708907,0.0,0.0,0.0,0.0,0,10665566
\SYN\SYN680-1.spass,0,14,7,14,7,1278226,0.0,0.0,0.0,0.0,0,3424918
\SYN\SYN596-1.spass,0,13,6,13,6,1137297,0.0,0.0,0.0,0.0,0,4822361
\SYN\SYN594-1.spass,0,23,12,23,12,3740724,0.0,0.0,0.0,0.0,0,10769387
\SYN\SYN079+1.spass,0,7,3,7,3,294884,0.0,0.0,0.0,0.0,0,1566793
\SYN\SYN566-1.spass,0,32,18,32,18,5243568,0.0,0.0,0.0,0.0,0,8204645
\GRP\GRP012+5.spass,0,21,13,21,13,20771365,0.0,0.0,0.0,0.0,0,32199603
\SWV\SWV280-2.spass,0,5,2,5,2,232512,0.0,0.0,0.0,0.0,0,1585347
\SET\SET046-5.spass,1,11,5,10,4,3463210,0.09090909090909091,2.8874945498540374E-7,0.09090909090909091,2.8874945498540374E-7,0,3055425
\COL\COL112-2.spass,0,5,2,5,2,344624,0.0,0.0,0.0,0.0,0,1817465
\COM\COM002-2.spass,0,21,12,21,12,2050766,0.0,0.0,0.0,0.0,0,5423183
\SET\SET899+1.spass,0,7,3,7,3,210011,0.0,0.0,0.0,0.0,0,1479157
\SYN\SYN593-1.spass,0,13,6,13,6,914259,0.0,0.0,0.0,0.0,0,5024872
\LAT\LAT271-2.spass,0,7,3,7,3,363967,0.0,0.0,0.0,0.0,0,1880626
\SWV\SWV364-2.spass,0,9,4,9,4,390020,0.0,0.0,0.0,0.0,0,2293543
\SWV\SWV323-2.spass,0,37,17,37,17,3276884,0.0,0.0,0.0,0.0,0,13648355
\SET\SET859-2.spass,0,7,3,7,3,333176,0.0,0.0,0.0,0.0,0,1700616
\SWV\SWV321-2.spass,0,24,10,24,10,1553372,0.0,0.0,0.0,0.0,0,7284070
\SET\SET829-2.spass,0,7,3,7,3,206853,0.0,0.0,0.0,0.0,0,1669036
\SWV\SWV239-2.spass,0,12,5,12,5,753987,0.0,0.0,0.0,0.0,0,3586769
\SYN\SYN035-1.spass,0,9,6,9,6,1271120,0.0,0.0,0.0,0.0,0,3761252
\SYN\SYN048-1.spass,0,3,1,3,1,111716,0.0,0.0,0.0,0.0,0,1094664
\SYN\SYN677-1.spass,0,14,7,14,7,2279726,0.0,0.0,0.0,0.0,0,6087164
\CSR\CSR054+1.spass,0,5,2,5,2,210011,0.0,0.0,0.0,0.0,0,1618901
\SYN\SYN632-1.spass,1,24,13,26,11,14271677,-0.08333333333333333,-1.4013770070609082E-7,0.08333333333333333,1.4013770070609082E-7,2,23892320
\LCL\LCL439-2.spass,0,13,6,13,6,1008606,0.0,0.0,0.0,0.0,0,3908102
\SWV\SWV320-2.spass,0,7,3,7,3,248697,0.0,0.0,0.0,0.0,0,1501659
\SYN\SYN604-1.spass,1,26,15,31,14,8779808,-0.19230769230769232,-5.694885355123939E-7,0.038461538461538464,1.1389770710247879E-7,5,10346207
\COL\COL124-2.spass,0,6,2,6,2,404232,0.0,0.0,0.0,0.0,0,3704012
\SWV\SWV264-2.spass,0,5,2,5,2,178430,0.0,0.0,0.0,0.0,0,1162562
\COL\COL122-2.spass,0,5,2,5,2,268435,0.0,0.0,0.0,0.0,0,1718775
\TOP\TOP004-2.spass,0,3,1,3,1,88426,0.0,0.0,0.0,0.0,0,644245
\SWV\SWV277-2.spass,0,9,4,9,4,536081,0.0,0.0,0.0,0.0,0,2063794
\PUZ\PUZ008-3.spass,0,49,31,49,31,10317389,0.0,0.0,0.0,0.0,0,69355388
\MGT\MGT004-1.spass,0,47,29,47,29,1452263719,0.0,0.0,0.0,0.0,0,1474378444
\SWB\SWB003+2.spass,0,3,1,3,1,114085,0.0,0.0,0.0,0.0,0,843597
\MGT\MGT002-1.spass,1,31,17,30,13,75104246,0.03225806451612903,1.3314826434713159E-8,0.12903225806451613,5.3259305738852634E-8,3,67122638
\SWV\SWV291-2.spass,0,23,11,23,11,2330650,0.0,0.0,0.0,0.0,0,9203777
