bin,luCompResRatio,rpiCompResRatio,lurpiCompResRatio,rpiluCompResRatio,binDescription
14,0.0,0.14356435643564355,0.1485148514851485,0.14356435643564355,375-390
7,0.0,0.14074074074074075,0.14074074074074075,0.14074074074074075,263-278
8,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285,279-294
18,0.0,0.13043478260869565,0.13478260869565217,0.13043478260869565,439-456
15,0.0,0.1642512077294686,0.9951690821256038,0.1642512077294686,391-406
20,0.0,0.0,0.0,0.0,473-488
18,0.0,0.0,0.0,0.0,439-456
10,0.0,0.10828025477707007,0.10828025477707007,0.10828025477707007,311-326
14,0.0,0.15346534653465346,0.6237623762376238,0.15346534653465346,375-390
12,0.0,0.0,0.0,0.0,343-358
15,0.0,0.0,0.0,0.0,391-406
17,0.0,0.0,0.0,0.0,423-438
12,0.0,0.0,0.0,0.0,343-358
17,0.0,0.14349775784753363,0.16591928251121077,0.14349775784753363,423-438
16,0.0,0.13875598086124402,0.5311004784688995,0.13875598086124402,407-422
8,0.46153846153846156,0.0,0.46153846153846156,0.46153846153846156,279-294
5,0.0,0.14754098360655737,0.14754098360655737,0.14754098360655737,230-246
10,0.0,0.09815950920245399,0.09815950920245399,0.09815950920245399,311-326
