proof,compressed?,length,resOnlyLength,compressedLengthAll,compressedLengthResOnly,compressTime,compressRatio,compressSpeed,compressRatioRes,compressSpeedRes,numFOSub,compressedNoSub,cumulativeLength,cumulativeLengthCompressed
SYN\SYN562-1.spass,1,12,6,16,5,6162412,-0.333333333,-6.49E-07,0.083333333,1.62E-07,4,12,858,834
SWV\SWV331-2.spass,1,12,6,16,5,5834406,-0.333333333,-6.86E-07,0.083333333,1.71E-07,4,12,870,846
GRP\GRP004-1.spass,1,12,7,17,7,31336725,-0.416666667,-1.60E-07,0,0,5,12,882,858
SET\SET631+3.spass,1,12,6,14,5,7704483,-0.166666667,-2.60E-07,0.083333333,1.30E-07,2,12,894,870
SWV\SWV255-2.spass,1,12,6,17,5,5823033,-0.416666667,-8.59E-07,0.083333333,1.72E-07,5,12,906,882
SWV\SWV240-2.spass,1,12,5,12,5,122911,0,0,0,0,0,12,918,894
SEU\SEU264+1.spass,1,12,6,16,5,2691927,-0.333333333,-1.49E-06,0.083333333,3.71E-07,4,12,930,906
RNG\RNG038-2.spass,1,12,6,16,5,3164858,-0.333333333,-1.26E-06,0.083333333,3.16E-07,4,12,942,918
SWV\SWV284-2.spass,1,12,6,17,5,17629430,-0.416666667,-2.84E-07,0.083333333,5.67E-08,5,12,954,930
GRP\GRP031-2.spass,1,12,7,17,7,6322380,-0.416666667,-7.91E-07,0,0,5,12,966,942
COM\COM001-1.spass,1,13,6,13,6,108235,0,0,0,0,0,13,979,955
SET\SET852-2.spass,1,13,5,13,5,358826,0,0,0,0,0,13,992,968
SYN\SYN006-1.spass,1,13,6,13,6,105667,0,0,0,0,0,13,1005,981
SWV\SWV314-2.spass,1,13,6,13,6,150428,0,0,0,0,0,13,1018,994
LCL\LCL445-2.spass,1,13,7,13,7,251692,0,0,0,0,0,13,1031,1007
SYN\SYN568-1.spass,1,13,6,13,6,140522,0,0,0,0,0,13,1044,1020
SYN\SYN593-1.spass,1,13,6,13,6,188218,0,0,0,0,0,13,1057,1033
LCL\LCL439-2.spass,1,13,6,13,6,224541,0,0,0,0,0,13,1070,1046
SYN\SYN585-1.spass,1,13,6,13,6,91724,0,0,0,0,0,13,1083,1059
TOP\TOP022+1.spass,1,13,6,13,6,85487,0,0,0,0,0,13,1096,1072
SYN\SYN596-1.spass,1,13,6,13,6,115573,0,0,0,0,0,13,1109,1085
SWV\SWV244-2.spass,1,13,7,13,7,499715,0,0,0,0,0,13,1122,1098
SYN\SYN354-1.spass,1,14,7,16,4,3989645,-0.142857143,-5.01E-07,0.214285714,7.52E-07,4,12,1136,1110
SYN\SYN687-1.spass,1,14,6,15,5,16344555,-0.071428571,-6.12E-08,0.071428571,6.12E-08,2,13,1150,1123
SYN\SYN666-1.spass,1,14,7,14,7,1493640,0,0,0,0,0,14,1164,1137
SYN\SYN679-1.spass,1,14,7,14,7,1315695,0,0,0,0,0,14,1178,1151
SYN\SYN664-1.spass,1,14,7,14,7,2329066,0,0,0,0,0,14,1192,1165
SYN\SYN663-1.spass,1,14,7,14,7,127314,0,0,0,0,0,14,1206,1179
SYN\SYN661-1.spass,1,14,7,14,7,201427,0,0,0,0,0,14,1220,1193
SYN\SYN670-1.spass,1,14,7,14,7,191520,0,0,0,0,0,14,1234,1207
SYN\SYN586-1.spass,1,14,7,14,7,295720,0,0,0,0,0,14,1248,1221
SYN\SYN667-1.spass,1,14,7,14,7,92825,0,0,0,0,0,14,1262,1235
SYN\SYN622-1.spass,1,14,7,14,7,117407,0,0,0,0,0,14,1276,1249
MSC\MSC005-1.spass,1,14,6,14,6,147860,0,0,0,0,0,14,1290,1263
SYN\SYN671-1.spass,1,14,7,14,7,108234,0,0,0,0,0,14,1304,1277
SYN\SYN683-1.spass,1,14,7,14,7,107134,0,0,0,0,0,14,1318,1291
SYN\SYN668-1.spass,1,14,7,14,7,98329,0,0,0,0,0,14,1332,1305
COL\COL117-2.spass,1,14,7,14,7,173543,0,0,0,0,0,14,1346,1319
SYN\SYN680-1.spass,1,14,7,14,7,96494,0,0,0,0,0,14,1360,1333
SYN\SYN665-1.spass,1,14,7,14,7,92092,0,0,0,0,0,14,1374,1347
SYN\SYN677-1.spass,1,14,7,14,7,92458,0,0,0,0,0,14,1388,1361
SYN\SYN662-1.spass,1,14,7,14,7,93559,0,0,0,0,0,14,1402,1375
SYN\SYN675-1.spass,1,14,7,14,7,95026,0,0,0,0,0,14,1416,1389
COL\COL109-2.spass,1,14,7,14,7,165470,0,0,0,0,0,14,1430,1403
SYN\SYN676-1.spass,1,14,7,14,7,91357,0,0,0,0,0,14,1444,1417
SYN\SYN674-1.spass,1,14,7,14,7,94292,0,0,0,0,0,14,1458,1431
SYN\SYN669-1.spass,1,14,7,14,7,108602,0,0,0,0,0,14,1472,1445
SYN\SYN681-1.spass,1,14,7,14,7,88056,0,0,0,0,0,14,1486,1459
SWV\SWV283-2.spass,1,14,6,20,5,16177984,-0.428571429,-3.71E-07,0.071428571,6.18E-08,6,14,1500,1473
SYN\SYN678-1.spass,1,14,7,14,7,97228,0,0,0,0,0,14,1514,1487
SYN\SYN660-1.spass,1,14,7,14,7,88056,0,0,0,0,0,14,1528,1501
SYN\SYN685-1.spass,1,14,7,14,7,87689,0,0,0,0,0,14,1542,1515
SYN\SYN684-1.spass,1,14,7,14,7,84753,0,0,0,0,0,14,1556,1529
SYN\SYN682-1.spass,1,14,7,14,7,86955,0,0,0,0,0,14,1570,1543
MSC\MSC003-1.spass,1,15,7,20,6,4020097,-0.333333333,-1.24E-06,0.066666667,2.49E-07,6,14,1585,1557
SYN\SYN620-1.spass,1,15,7,15,7,150428,0,0,0,0,0,15,1600,1572
SYN\SYN648-1.spass,1,15,7,19,6,47568276,-0.266666667,-8.41E-08,0.066666667,2.10E-08,4,15,1615,1587
GRP\GRP003-1.spass,1,15,10,22,9,11826210,-0.466666667,-5.92E-07,0.066666667,8.46E-08,7,15,1630,1602
SWV\SWV358-2.spass,1,15,8,15,8,137953,0,0,0,0,0,15,1645,1617
SWV\SWV313-2.spass,1,15,7,15,7,150795,0,0,0,0,0,15,1660,1632
SWV\SWV355-2.spass,1,15,8,15,8,130982,0,0,0,0,0,15,1675,1647
LCL\LCL433-2.spass,1,15,7,15,7,148960,0,0,0,0,0,15,1690,1662
SWV\SWV242-2.spass,1,15,8,15,8,119976,0,0,0,0,0,15,1705,1677
SET\SET842-2.spass,1,15,6,15,6,140522,0,0,0,0,0,15,1720,1692
SYN\SYN082-1.spass,1,15,5,15,5,94659,0,0,0,0,0,15,1735,1707
PLA\PLA003-1.spass,1,15,7,15,7,139054,0,0,0,0,0,15,1750,1722
SYN\SYN582-1.spass,1,15,7,15,7,97595,0,0,0,0,0,15,1765,1737
LAT\LAT273-2.spass,1,16,9,18,6,6271014,-0.125,-3.19E-07,0.1875,4.78E-07,4,14,1781,1751
